,BRND_CD,MKT_LN_CD,stagnate,return,first_buy,rebuy,sales_total
2011,W43,421,2,0,8,1,0.38407299999999994
2012,W44,049,0,0,12,1,2.1667100000000006
2013,W44,421,0,0,6,0,0.2304438
2014,W48,049,3,0,16,2,6.000119999999999
2015,W48,274,0,0,2,0,0.2044354
2016,W4W,274,0,0,1,0,0.0511089
2017,W52,049,0,0,1,0,0.16667
2018,W53,049,0,0,3,0,0.5000100000000001
2019,W53,274,0,0,1,0,0.0511089
2020,W54,049,0,0,1,0,0.16667
2021,W54,421,0,0,3,0,0.11522189999999999
2022,W56,049,1,0,2,1,0.5000100000000001
2023,W56,422,2,0,2,0,0.1022178
2024,W58,049,1,0,5,1,1.1666900000000002
2025,W59,049,0,0,1,1,1.50003
2026,W59,274,0,0,1,1,0.2044356
2027,W5W,031,32,0,90,108,43.40320869999998
2028,W5W,049,27,0,116,64,82.1683100000001
2029,W5W,051,16,0,73,75,190.0
2030,W61,049,0,0,1,0,0.16667
2031,W62,274,0,0,1,0,0.0511089
2032,W67,049,16,0,66,28,37.66742000000002
2033,W67,051,10,0,49,22,60.0
2034,W67,126,18,0,39,31,11.540316600000011
2035,W67,422,1,0,0,0,0.0
2036,W68,049,8,0,141,3,26.000519999999984
2037,W68,051,1,0,11,1,6.5
2038,W68,422,12,0,48,6,3.475404400000001
2039,W69,049,1,0,5,1,2.50005
2040,W69,274,0,0,2,0,0.15332669999999998
2041,W71,049,0,0,5,0,0.83335
2042,W71,274,0,0,8,1,0.511089
2043,W74,049,0,0,5,1,1.0000200000000001
2044,W74,421,0,0,3,0,0.11522189999999999
2045,W75,051,1,0,0,0,0.0
2046,W76,049,0,0,1,0,0.16667
2047,W76,274,0,0,1,0,0.2044355
2048,W78,049,2,0,3,0,0.5000100000000001
2049,W78,274,0,0,1,0,0.0511089
2050,W86,031,19,1,135,69,27.072568699999938
2051,W86,049,16,0,257,56,77.00154000000029
2052,W86,051,1,0,96,41,107.5
2053,W86,126,3,0,16,12,4.3548369000000005
2054,W87,049,0,0,1,0,0.16667
2055,W8B,049,0,0,18,2,3.8334099999999998
2056,W8B,051,1,0,0,1,2.0
2057,W8B,274,0,0,4,0,0.3577622
2058,W8M,049,1,0,4,0,0.83335
2059,W90,049,1,0,2,1,0.66668
2060,W91,049,0,0,1,1,0.33334
2061,W93,049,0,0,1,0,0.16667
2062,W93,274,0,0,1,0,0.0511089
2063,W97,049,0,0,4,0,0.66668
2064,W97,274,0,0,3,1,0.25554449999999995
2065,W98,049,0,0,1,0,0.16667
2066,W99,049,4,0,12,1,2.50005
2067,W99,274,1,0,2,1,0.5621977
2068,W9W,049,1,0,19,1,3.3333999999999997
2069,W9W,274,2,0,4,0,0.2044356
2070,WA1,049,26,0,84,18,34.00068000000001
2071,WA1,051,14,0,42,11,47.5
2072,WA1,095,14,0,41,30,14.903226699999998
2073,WAC,049,3,0,29,1,5.000099999999999
2074,WAC,421,3,0,15,0,0.5761094999999999
2075,WAD,049,1,0,4,1,0.83335
2076,WAD,274,0,0,1,0,0.0511089
2077,WAK,051,0,0,1,0,2.5
2078,WB8,049,3,0,23,3,5.833449999999999
2079,WB8,051,0,0,1,1,1.5
2080,WB8,274,0,0,4,2,0.4088712
2081,WB8,422,0,0,1,0,0.0511089
2082,WB9,049,0,0,2,0,0.33334
2083,WBA,049,0,0,1,0,0.33334
2084,WD6,049,0,0,2,0,0.33334
2085,WD7,049,0,0,2,0,0.33334
2086,WDI,049,0,0,6,0,1.0000200000000001
2087,WEL,049,0,0,2,0,0.33334
2088,WEL,051,1,0,0,2,6.0
2089,WES,049,4,0,10,8,10.166869999999996
2090,WES,051,5,0,14,22,57.0
2091,WF6,049,0,0,1,0,0.16667
2092,WFG,049,1,0,14,4,4.833429999999998
2093,WFG,274,2,0,3,1,0.4599798
2094,WGA,049,0,0,1,0,0.16667
2095,WIL,004,12,2,23,28,11.839712800000006
2096,WIL,031,87,17,230,138,91.40924539999968
2097,WIL,095,27,5,87,33,23.70967899999997
2098,WIW,049,0,0,1,0,0.16667
2099,WJH,049,0,0,1,0,0.16667
